x,y
1.50E+01,-5.73E-04
1.50E+01,-5.43E-04
1.50E+01,-5.14E-04
1.50E+01,-4.86E-04
1.50E+01,-4.59E-04
1.50E+01,-4.33E-04
1.50E+01,-4.09E-04
1.50E+01,-3.85E-04
1.50E+01,-3.63E-04
1.50E+01,-3.41E-04
1.50E+01,-3.21E-04
1.50E+01,-3.01E-04
1.50E+01,-2.82E-04
1.50E+01,-2.64E-04
1.50E+01,-2.47E-04
1.50E+01,-2.30E-04
1.50E+01,-2.14E-04
1.50E+01,-1.99E-04
1.50E+01,-1.84E-04
1.50E+01,-1.70E-04
1.50E+01,-1.57E-04
1.50E+01,-1.44E-04
1.50E+01,-1.32E-04
1.50E+01,-1.20E-04
1.50E+01,-1.09E-04
1.50E+01,-9.83E-05
1.50E+01,-8.80E-05
1.50E+01,-7.82E-05
1.50E+01,-6.87E-05
1.50E+01,-5.97E-05
1.50E+01,-5.11E-05
1.50E+01,-4.28E-05
1.50E+01,-3.49E-05
1.50E+01,-2.73E-05
1.50E+01,-2.00E-05
1.50E+01,-1.30E-05
1.50E+01,-6.38E-06
1.50E+01,0.00E+00
1.50E+01,6.38E-06
1.50E+01,1.30E-05
1.50E+01,2.00E-05
1.50E+01,2.73E-05
1.50E+01,3.49E-05
1.50E+01,4.28E-05
1.50E+01,5.11E-05
1.50E+01,5.97E-05
1.50E+01,6.87E-05
1.50E+01,7.82E-05
1.50E+01,8.80E-05
1.50E+01,9.83E-05
1.50E+01,1.09E-04
1.50E+01,1.20E-04
1.50E+01,1.32E-04
1.50E+01,1.44E-04
1.50E+01,1.57E-04
1.50E+01,1.70E-04
1.50E+01,1.84E-04
1.50E+01,1.99E-04
1.50E+01,2.14E-04
1.50E+01,2.30E-04
1.50E+01,2.47E-04
1.50E+01,2.64E-04
1.50E+01,2.82E-04
1.50E+01,3.01E-04
1.50E+01,3.21E-04
1.50E+01,3.41E-04
1.50E+01,3.63E-04
1.50E+01,3.85E-04
1.50E+01,4.09E-04
